College_Name,Reviews,Rating,Review Votes
Rajiv Gandhi College of Engineering and Technology,very worst college management.........i ever seen like this in my carrier........,1,6
Rajiv Gandhi College of Engineering and Technology,Like It. Love it. Live It. Proud to be an RGCET'ian.. :),5,3
Rajiv Gandhi College of Engineering and Technology,College having good infrastructure and placements,5,0
Rajiv Gandhi College of Engineering and Technology,"So I heard from a friend as to what this college did to a certain student, which I find disturbing that the lectures are always the victims and the students are always the wrong ones, this must stop",1,4
Rajiv Gandhi College of Engineering and Technology,Best college in TamilNadu & pondicherry,5,3
Rajiv Gandhi College of Engineering and Technology,"Decent. Standards seem to be improving, of late",3,1
Rajiv Gandhi College of Engineering and Technology,ok but to improve technical,3,0
Rajiv Gandhi College of Engineering and Technology,Some what it's OK for students..,3,0
Rajiv Gandhi College of Engineering and Technology,Gud .....more to improve......,4,0
Rajiv Gandhi College of Engineering and Technology,Worst clg,1,4
Rajiv Gandhi College of Engineering and Technology,Best college,5,3
Rajiv Gandhi College of Engineering and Technology,Worst College in Pondicherry,1,6
Rajiv Gandhi College of Engineering and Technology,Good,4,0
Rajiv Gandhi College of Engineering and Technology,Waste,1,2
Achariya College Of Engineering And Technology,Neet qualified,5,2
Achariya College Of Engineering And Technology,Not bad,4,0
Achariya College Of Engineering And Technology,Good.. won't forget ride from university to the college,5,1
Achariya College Of Engineering And Technology,Worst clg I ve seen in my life...I want to gv 0 star...bt no option s der...dnt ever choose dis clg fr ur studies,1,3
Achariya College Of Engineering And Technology,Nott soo good in fees,1,1
Achariya College Of Engineering And Technology,"I love achariya 
Good environment 
One of the Best college in pondicherry",5,1
Achariya College Of Engineering And Technology,Good college..you can feel the real college life here..,5,1
Achariya College Of Engineering And Technology,Good atmosphere and safety for women gud hostel facility,5,3
Achariya College Of Engineering And Technology,one of the good college for students to shine in their future,5,1
Achariya College Of Engineering And Technology,Green environment...friendly staffs....overall good,5,2
Achariya College Of Engineering And Technology,Its a college were there is a care takers,5,2
Achariya College Of Engineering And Technology,Average college.,2,0
Achariya College Of Engineering And Technology,Poor,1,1
Achariya College Of Engineering And Technology,Our college,5,0
Sri Ganesh College of Engineering and Technology ( SGCET ),Worst college in india . Wasted my 4 years life,1,2
Sri Ganesh College of Engineering and Technology ( SGCET ),All facilities are well and good but near some drugs shop is there so in and around 10 km no any drugs are sold r retaild but here 3 r 4 tasmark shops are there in front of the college,1,1
Sri Ganesh College of Engineering and Technology ( SGCET ),"waste College, they will not even teach you a singal class, you hv to study by own",2,1
Sri Ganesh College of Engineering and Technology ( SGCET ),its the worst ever college in the world. they did not consider about the students future................so dont join this college,1,3
Sri Ganesh College of Engineering and Technology ( SGCET ),Enterence Infrastructure and security good,4,0
Sri Ganesh College of Engineering and Technology ( SGCET ),Produced low knowledge of engineers,1,0
Sri Ganesh College of Engineering and Technology ( SGCET ),I've attended the online exam today SSC,3,3
Sri Ganesh College of Engineering and Technology ( SGCET ),what is principal name not at all mention please change the website do correction on it,1,1
Sri Ganesh College of Engineering and Technology ( SGCET ),My sister is jancy studying her,5,2
Sri Ganesh College of Engineering and Technology ( SGCET ),I am attended the online exam today ,1,1
Sri Ganesh College of Engineering and Technology ( SGCET ),The principal was very friendly,5,0
Sri Ganesh College of Engineering and Technology ( SGCET ),good college,3,1
Sri Ganesh College of Engineering and Technology ( SGCET ),"waste College..!  
Dummy Principal..!",4,0
Sri Ganesh College of Engineering and Technology ( SGCET ),waste college,1,0
Christ College of Engineering and Technology,"Christ College Of Engineering and Technology (CCET) is an Engineering College in Pondicherry Union territory, India. The College was Established in 2007,
 to Provide Technical Education to Young Citizens.",3,3
Christ College of Engineering and Technology,"Zero infrastructure. Name sake college, no quality education. worst professors. Had a conversation with dean of computing and its so pathetic to see the knowledge of person.",1,1
Christ College of Engineering and Technology,"worst infrastructure.. .and everything on Politics Based. For getting good name and % for the institute they will stop an average and below average students for attending the University exams, The main advantage of this college is it within City boundaries, except that its a worst college.",1,2
Christ College of Engineering and Technology,"Good quality education with technology, A place to Develop your skills and Knowledge. Christ Director  Mr.Ravichandran has put much efforts to develop this INSTITUTION.CCET Chairman Mr. S.R.S PAUL providing the facilities towards the college with his best effort. CCET is the top ranked college in the Pondicherry UT.All the Professors are great resource persons with focus on students development and career building. So Ultimately CCET could be the  NO. 1 Engineering College in South India Soon.
",5,0
Christ College of Engineering and Technology,Time pass,3,3
Christ College of Engineering and Technology,I love MI Munnar,5,0
Christ College of Engineering and Technology,The teaching method is Very practical. I Could see good improvements in my nephew's skills.,4,0
Christ College of Engineering and Technology,Good college,4,0
Christ College of Engineering and Technology,"open ,nice,cool and calm environment
good library
",4,0
Christ College of Engineering and Technology,I'm doing my engineering here.... Enjoying my college.... ;-),5,0
Christ College of Engineering and Technology,Good college Aand nice teaching.,5,0
Christ College of Engineering and Technology,Good college,4,1
Christ College of Engineering and Technology,no placement and no job opportunity,2,2
Christ College of Engineering and Technology,collage of best,5,0
Christ College of Engineering and Technology,poor infrastructure,1,2
Christ College of Engineering and Technology,nice college,3,0
Christ College of Engineering and Technology,My friend studied here,4,0
Christ College of Engineering and Technology,Waste,1,0
Christ College of Engineering and Technology,I wish to be there,4,0
Christ College of Engineering and Technology,My college,5,0
Raak College of Engineering and Technology,Very beautiful environment,5,2
Raak College of Engineering and Technology,Good atmosphere,4,0
Raak College of Engineering and Technology,Worst management,1,2
Raak College of Engineering and Technology,It's a good institution,5,1
Raak College of Engineering and Technology,very excellent college.......,5,1
Raak College of Engineering and Technology,Good atmosphere,4,0
Raak College of Engineering and Technology,Excellent infrastructure,5,2
Raak College of Engineering and Technology,Farouk bros,5,0
Alpha College Of Engineering And Technology,"I don't know it is arts or engineering because students are using mobile in side of class room while lecture front itself, I don't know what management is doing, but they fixed the camera inside class also, especially on there college 2nd year ECE girls using their mobile, while class is going on, on the time of admission management said mobile is not allowed but management cheating the parents, they can close the college and do some other business,  we are sending our daughter to gain the knowledge, but your management not teaching our culture, teaching foreign culture, I am asking my daughter what is diode In EDC subject she don't to answer but she is 2nd year and university exam going to come next month, completely waste, all girls are using mobile in the class itself, then how will they study, I think it is not study center it is entertainment center
",1,0
Alpha College Of Engineering And Technology,"I am an Er. 
Grabbed at this Engineering Temple only... 
2013-2017 batch
EEE ian ... College gives lot of things in a real life 
Social transformation need ed to extend... 
Its not an Jail, They are bounded their students in a closeful and quit way..- that only increase my Activities across all the globe.. 
Now i am Power System Protection Engineer ... 
Across the domestic
But one day I will cross all over the world... 
Thank u all HOD s, Manager s , Staffs,  Non teaching staffs, Canteen peoples, friends-bf,Gf ........
",5,2
Alpha College Of Engineering And Technology,Rank 1 in pondicherry university overall graduation percentage. First in placement percentage. Students will have a bright future when they join alpha.,5,0
Alpha College Of Engineering And Technology,ssc exam held in this college so good when i attend but no safety arrangements and waiting also.,3,1
Alpha College Of Engineering And Technology,Worst place poor staff took my wife for ibps exam even watchman behave like a thug,1,3
Alpha College Of Engineering And Technology,Ethically worst college in puducherry producing illiterate engineers,2,4
Alpha College Of Engineering And Technology,"To bring about social transformation by imparting quality technical education..
The placement scenario for this batch was very nice and up to the mark as compared to the current market and placement scenarios of other colleges.
FOR EEE core company VOLTECH started to came frm 2017..",5,0
Alpha College Of Engineering And Technology,"A Good Place to Learn..... 
Well Disciplined College..... 
Very Good Environment.....",5,0
Alpha College Of Engineering And Technology,Good,5,0
Alpha College Of Engineering And Technology,Jail..,1,2
Alpha College Of Engineering And Technology,Education motive,3,1
Alpha College Of Engineering And Technology,Good,4,0
Alpha College Of Engineering And Technology,standard education,5,0
Dr Pauls Engineering Colleges,Nice campus and full of green,4,1
Dr Pauls Engineering Colleges,"A private engineering college in the neighbouring TN . On the main NH 66 service road.Has basic branches of engineering curriculum and Under the Anna university .
",4,0
Dr Pauls Engineering Colleges,"I studied here fr 4 years, nice environment, free space fr ur free activities",5,0
Dr Pauls Engineering Colleges,"First About this college:  you will find everywhere written fully AC college its a myth my friend , you will only find AC boxes intact to windows for show off only. Teachers are not so experienced Expect some.
Lab facility one cannot assume anymore worse than this .
Placement : Its a myth my friend.
***Warning *** 
If you want to have a Bright future , Great Engineering life, Expecting a good Environment to Study,Please GO and find Other College. ",2,2
Dr Pauls Engineering Colleges,Good college for lower mark students,2,1
Dr Pauls Engineering Colleges,Not enough,3,0
Dr Pauls Engineering Colleges,Very worst clg in the world,1,2
Dr Pauls Engineering Colleges,Don't go,1,2
Dr Pauls Engineering Colleges,"Caution: This worst Shambles make many young people life ""?"" Don't even vide that side !!",1,2
Dr Pauls Engineering Colleges,Very very worst and goodness,1,0
Dr Pauls Engineering Colleges,no word to say,1,0
Dr Pauls Engineering Colleges,DONT GO,2,1
Dr Pauls Engineering Colleges,Good,3,0
Dr Pauls Engineering Colleges,DONT GO....,1,0
Dr Pauls Engineering Colleges,Good,3,0
Dr Pauls Engineering Colleges,super,4,0
Shri Krishnaa College of Engineering and Technology,"New College of Sri Krishnaa College of engineering and technology.
Famous for village area students",4,0
Shri Krishnaa College of Engineering and Technology,A college situated away from the Mannadipet main town.,3,1
Shri Krishnaa College of Engineering and Technology,Nice,5,0
Shri Krishnaa College of Engineering and Technology,My clg,4,0
Shri Krishnaa College of Engineering and Technology,Local college,5,0
Shri Krishnaa College of Engineering and Technology,college ,5,0
Sri Venkateshwara College of Engineering and Technology,"A great college for aspiring students! The parental care and deep insighted guidance are beyond compare!  It's best infrastructure, quality staffs and University results are second to none.
",5,1
Sri Venkateshwara College of Engineering and Technology,Wonderful college to enhance your technical knowledge. Good infrastructure. Skilled faculties.... providing placement opportunities in top MNCs.,5,1
Sri Venkateshwara College of Engineering and Technology,It’s a good place to develop our skills and knowledge. Good infrastructure also. ,5,0
Sri Venkateshwara College of Engineering and Technology,Good Infrastructure.. Foreign language learning center (Indo-Japanese Collaborated) and well qualified and experienced staffs..,5,1
Sri Venkateshwara College of Engineering and Technology,Good infrastructure... well experienced faculties....,5,1
Sri Venkateshwara College of Engineering and Technology,Really campus looks nice and having all facilities,5,1
Sri Venkateshwara College of Engineering and Technology,"worst college in pondicherry..only money speaks..they dont respect parents or students...they love only earning money...only few knowledgeable faculty rest are freshers with 0.0000000^% experience..their behaviour are worst...after knowing about this college,if parents willing to put thier child in this college, i suggest them to get poison bottle to them kill yourself. they also give space for couple in the name of cultural acitivity. a admin staff name Mr. Suresh, best fraudent in college. they collecting money from student 18thousand as placement fee every year but not even a brought a company for placement. SIMPLY THEY SPOILING STUDENTS LIFE. they not allowing students to write exam if they have fee due.",1,8
Sri Venkateshwara College of Engineering and Technology,"Good infrastructure, Experienced faculties and parental care for students",5,1
Sri Venkateshwara College of Engineering and Technology,Best Infrastructure with well experienced faculties,5,1
Sri Venkateshwara College of Engineering and Technology,Very good infrastructure,5,1
Sri Venkateshwara College of Engineering and Technology,Worst management system followed. Not recommended,1,1
Sri Venkateshwara College of Engineering and Technology,Good place in Sri venkateswara medical college,5,2
Sri Venkateshwara College of Engineering and Technology,Super structure,4,0
Sri Venkateshwara College of Engineering and Technology,Batch of 2008,4,0
Sri Venkateshwara College of Engineering and Technology,engineering college,5,0
Sri Manakula Vinayagar Engineering College,""" Simulation place to learn something and practice technology ""
One of the best college among RESEARCH AND DEVELOPMENT oriented activities. College will create  good students as well as very good Researchers.",5,2
Sri Manakula Vinayagar Engineering College,Its nearly 20 kms from puduxherry bus stand.....Many buses available .....This college have good placements history.....,4,0
Sri Manakula Vinayagar Engineering College,"The best college in Puducherry. Very well in placement and also in all other activities. Friendly faculties. Here , we can develop overselves from a student to pro. One can gain good in everything. And , one can experience a good school like environment in here.",5,29
Sri Manakula Vinayagar Engineering College,Good infrastructure. well qualified faculties to help the students in all kind of situations. Nice lab facilities. Apart from curriculum students skill development classes are conducted with qualified trainers from reputed institutions.,4,24
Sri Manakula Vinayagar Engineering College,Admin is bit strict to maintain the discipline among students. All kind of training is given. If student did anything apart from curriculum they also encourage that make them do more. More than students faculties are really doing great job to make their students to be great.,4,4
Sri Manakula Vinayagar Engineering College,On my perspective this college has a better infrastructure compared with others.The environment here feels to be user friendly and so are the professors. The most important point I want to make here is the occurrence of Instrumentation and Control Engineering which has a great scope in future(say Gulf Countries) which most of the people didn't know to be.,4,11
Sri Manakula Vinayagar Engineering College,This is the best college I have ever seen in the Pondicherry. The teachers are teaching well and taking care of the students. There is a good bus facilities in the college. There is a good canteen facilities. The labs are good and wonderful.,5,4
Sri Manakula Vinayagar Engineering College,"Our collage as been provided many opportunity to prove our talents and also its provide good place to explore each one of its individual wellness. 
 There is no partiality among the each departments. Equal motivation and guideness should be given to all department students by our respected teachers
",5,4
Sri Manakula Vinayagar Engineering College,It's a college with good infrastructure. Students can find every possible opportunity to develop their skills. The college management trains the students to be well disciplined.,5,3
Sri Manakula Vinayagar Engineering College,It is one of the best college . It enhancing us to develop our knowledge through practical themes. It has the best placement records among other colleges. It paves the way for us to get a good job in future.,5,17
Sri Manakula Vinayagar Engineering College,Wonderful place to learn new things apart from the syllabus. The place that looks like a palace in the environmental part. This place lifted me in the society. An unforgettable ever in my life...,4,3
Sri Manakula Vinayagar Engineering College,"A great college for aspiring students! The parental care and deep insighted guidance are beyond compare! It's best infrastructure, quality staffs and University results are second to none.",5,3
Sri Manakula Vinayagar Engineering College,Very good campus for Engineering Education. They are Providing Practical/ Hands on training to student for their better understanding apart from syllabus. Well disciplined campus.,5,9
Sri Manakula Vinayagar Engineering College,Very good campus for Engineering Education. They are Providing Practical/ Hands on training to student for their better understanding apart from syllabus. Well disciplined campus.,5,6
Sri Manakula Vinayagar Engineering College,"I am an student of Instrumentation and Control Engineering dept and i was placed in ZOHO with 6.58 L package.
The College infrastructure was quite good and they provide useful placement coaching. Experienced faculties are available.
",5,5
Sri Manakula Vinayagar Engineering College,"Best place for engineering for Pondicherry and its surrounding....
With its outstanding placement records even in core companies..
So it's best place for engineering practice
",5,27
Sri Manakula Vinayagar Engineering College,"Beautiful environment,
Good infrastructure
",4,0
Sri Manakula Vinayagar Engineering College,Most ever disciplined clg ever i seen in Puducherry. Good collection of books in library. Loving atmosphere. Placements are very good!,5,3
Sri Manakula Vinayagar Engineering College,"One of the best institution in puducherry.
Well qualified faculties to help the students at any stage.
very good placements.Good infrastructure.
",5,7
Sri Manakula Vinayagar Engineering College,Nice atmosphere and environment for this college its nice institutions for Pondicherry.....,5,0
Sri Manakula Vinayagar Engineering College,I feel satisfied with this college. The favarouble and warm reception to the students. Is a matter of great satisfaction for me.,5,17
Sri Manakula Vinayagar Engineering College,Good college in pondicherry to learn engineering. well equipped laboratories with well trained faculty and lab assistant. Good placement record.,5,29
Sri Manakula Vinayagar Engineering College,It is glad to share it is a stimulating place to learn and practice technology for future.good faculty members with deeper knowledge and experience.clean campus with NBA accreditation. Mnc offering good placement.,5,4
Sri Manakula Vinayagar Engineering College,Good infrastructure... friendly and motivational facilities. Excellent in placement. Proud to be a student of this college.!,5,3
Sri Manakula Vinayagar Engineering College,"Sri Manakula Vinayagar Engineering College (SMVEC) is an engineering college in Puducherry union territory, India. The college was established in 1999 to provide technical education to young citizens.

The institution is affiliated to Pondicherry University and is approved by All India Council for Technical Education.
",5,3
Sri Manakula Vinayagar Engineering College,Best college in puducherry. Good infrastructure lab facilities classroom facilities well and good. It is one of the most famous Engineering college in puducherry. They will treat friendly whatever it is.,5,22
Sri Manakula Vinayagar Engineering College,"one of the best college in pondicherry..
placements are excellent in this college.
hence overall a good choice for engineering students.
",5,14
Sri Manakula Vinayagar Engineering College,"Only institution to have instrumentation and control engineering course in pudhucherry.Conduction of many online tests improved our knowledge in many schemes.We are trained to succeed  and excel in both our academy and other activities. SMVEC is the one of the best college  to pursue engineering.
Well,proud to be an instrumentation engineer!!!!
",5,8
Sri Manakula Vinayagar Engineering College,Good placement training and well trained faculties. This is place for develop our communications skills and projects.,4,18
Sri Manakula Vinayagar Engineering College,"A place where parental care is provided with excellent teaching, nice infrastructure, motivating faculties to excel in career growth. Very proud to be alumni of this prestigious institution.",5,18
Sri Manakula Vinayagar Engineering College,Best college in puducherry with NBA and NAAC accreditation. Excellent placement in both core and software sector companies. Parents favourite college for their wards.,5,24
Sri Manakula Vinayagar Engineering College,It is really the Best place to learn and practice technology and all its all because of the great efforts taken by the faculty members and staffs for their constant support and encouragement for the development of each and every student to explore their talents and succeed in their lives .,5,3
Sri Manakula Vinayagar Engineering College,"A college with very good facilities , with well trained staffs and an excellent placement every year.
The correct place to update our knowledge in this modern world.
",5,6
Sri Manakula Vinayagar Engineering College,"Best institution in puducherry.
Well qualified faculties to help and support students
very good placements.Good infrastructure.
",5,3
Sri Manakula Vinayagar Engineering College,A college with lots of achievement in academic. Good placement. More programmes has been organised for welfare of students studying. Good bus facilities.,4,4
Sri Manakula Vinayagar Engineering College,"Very Good learning atmosphere, highly motivated Faculties, excellent infrastructure Facility and Outstanding Placement. Best Engineering College .",5,22
Sri Manakula Vinayagar Engineering College,"No.1 college in puducherry, where students future dreams comes true when they joined in SMVEC. The best engineering college. Apart from syllabus students trained for the latest technology to face today industry. Really proud to be a faculty in SMVEC. Good placement records shows the quality of this college. Students awards from different events shows their knowledge update through this institution.",5,1
Sri Manakula Vinayagar Engineering College,"I seriously doubt students are asked to give positive reviews during the lab session as almost 70% of new reviews comes in one day (27-8-18) , you can see the standard of the college. Ran by politicians. Ruthless rules. Don't ruin your life by joining here or any college except PEC in Pondicherry.",1,12
Sri Manakula Vinayagar Engineering College,One of the leading reputed engineering college.very good academic and placement record.more than 20+ tier 1 companies visiting every year.,5,13
Sri Manakula Vinayagar Engineering College,"One of the best place where the candidate can update their knowledge through practical and the best infrastructure kind faculties and staffs good placement activities etc,,.",5,3
Sri Manakula Vinayagar Engineering College,"A place where you can mould yourself to fit in the upcoming industrial revolution...
Lab facilities are in good numbers with good lab environment...
",4,24
Sri Manakula Vinayagar Engineering College,"infrastructure is good there are well trained faculties teach in a good manner more trainings are given apart  from academic in the sense software
",5,2
Sri Manakula Vinayagar Engineering College,"Excellent in Academic
good  placement Record
very good infrastructure
Number one college in Puducherry
NBA accredited college
NAAC  accredited college
 Very good in discipline aspects
Well equipped laboratories
Parental care taking college
",5,5
Sri Manakula Vinayagar Engineering College,"Sri Manakula Vinayagar Engineering college is a stimulating place to learn regarding Engineering with updating knowledge for students.
The college gives an effective education to all students for enhancing their brightful students....
",5,31
